角色,音色 ID,语言,模型,接口
Michael 2.0,ICL_uranus_en_male_michael_tob,美式英语,2.0,websocket
Big Boogie 2.0,ICL_uranus_en_male_big_boogie_tob,美式英语,2.0,websocket
Xavier 2.0,ICL_uranus_en_male_xavier_tob,美式英语,2.0,websocket
Zayne 2.0,ICL_uranus_en_male_zayne_tob,美式英语,2.0,websocket
客服婉君 2.0,ICL_uranus_zh_female_kefuwanjun_tob,中文,2.0,websocket
营销小楠 2.0,ICL_uranus_zh_female_yingxiaokefu_v2_tob,中文,2.0,websocket
傲娇女友 2.0,ICL_uranus_zh_female_aojiaonvyou_tob,中文,2.0,websocket
傲慢娇声 2.0,ICL_uranus_zh_female_aomanjiaosheng_tob,中文,2.0,websocket
邪魅女王 2.0,ICL_uranus_zh_female_xiemeinvwang_tob,中文,2.0,websocket
病娇姐姐 2.0,ICL_uranus_zh_female_bingjiaojiejie_tob,中文,2.0,websocket
病娇萌妹 2.0,ICL_uranus_zh_female_bingjiaomengmei_tob,中文,2.0,websocket
病弱少女 2.0,ICL_uranus_zh_female_bingruoshaonv_tob,中文,2.0,websocket
成熟温柔 2.0,ICL_uranus_zh_female_chengshuwenrou_tob,中文,2.0,websocket
成熟姐姐 2.0,ICL_uranus_zh_female_chengshujiejie_tob,中文,2.0,websocket
纯真少女 2.0,ICL_uranus_zh_female_chunzhenshaonv_tob,中文,2.0,websocket
纯澈女生 2.0,ICL_uranus_zh_female_chunchenvsheng_tob,中文,2.0,websocket
妩媚可人 2.0,ICL_uranus_zh_female_wumeikeren_tob,中文,2.0,websocket
乖巧可儿 2.0,ICL_uranus_zh_female_guaiqiaokeer_tob,中文,2.0,websocket
和蔼奶奶 2.0,ICL_uranus_zh_female_heainainai_tob,中文,2.0,websocket
活泼刁蛮 2.0,ICL_uranus_zh_female_huopodiaoman_tob,中文,2.0,websocket
活泼女孩 2.0,ICL_uranus_zh_female_huoponvhai_tob,中文,2.0,websocket
娇憨女王 2.0,ICL_uranus_zh_female_jiaohannvwang_tob,中文,2.0,websocket
娇弱萝莉 2.0,ICL_uranus_zh_female_jiaoruoluoli_tob,中文,2.0,websocket
假小子 2.0,ICL_uranus_zh_female_jiaxiaozi_tob,中文,2.0,websocket
精灵向导 2.0,ICL_uranus_zh_female_jinglingxiangdao_tob,中文,2.0,websocket
开朗婷婷 2.0,ICL_uranus_zh_female_kailangtingting_tob,中文,2.0,websocket
开心小鸿 2.0,ICL_uranus_zh_female_kaixinxiaohong_tob,中文,2.0,websocket
可爱女生 2.0,ICL_uranus_zh_female_keainvsheng_tob,中文,2.0,websocket
灵动欣欣 2.0,ICL_uranus_zh_female_lingdongxinxin_tob,中文,2.0,websocket
邻居阿姨 2.0,ICL_uranus_zh_female_linjuayi_tob,中文,2.0,websocket
甜美娇俏 2.0,ICL_uranus_zh_female_tianmeijiaoqiao_tob,中文,2.0,websocket
清冷高雅 2.0,ICL_uranus_zh_female_qinglenggaoya_tob,中文,2.0,websocket
理性圆子 2.0,ICL_uranus_zh_female_lixingyuanzi_tob,中文,2.0,websocket
性感魅惑 2.0,ICL_uranus_zh_female_xingganmeihuo_tob,中文,2.0,websocket
暖心茜茜 2.0,ICL_uranus_zh_female_nuanxinqianqian_tob,中文,2.0,websocket
暖心学姐 2.0,ICL_uranus_zh_female_nuanxinxuejie_tob,中文,2.0,websocket
清甜莓莓 2.0,ICL_uranus_zh_female_qingtianmeimei_tob,中文,2.0,websocket
清甜桃桃 2.0,ICL_uranus_zh_female_qingtiantaotao_tob,中文,2.0,websocket
清晰小雪 2.0,ICL_uranus_zh_female_qingxixiaoxue_tob,中文,2.0,websocket
倾心少女 2.0,ICL_uranus_zh_female_qingxinshaonv_tob,中文,2.0,websocket
柔骨魂师 2.0,ICL_uranus_zh_female_rouguhunshi_tob,中文,2.0,websocket
软萌糖糖 2.0,ICL_uranus_zh_female_ruanmengtangtang_tob,中文,2.0,websocket
软萌团子 2.0,ICL_uranus_zh_female_ruanmengtuanzi_tob,中文,2.0,websocket
甜美活泼 2.0,ICL_uranus_zh_female_tianmeihuopo_tob,中文,2.0,websocket
甜美小橘 2.0,ICL_uranus_zh_female_tianmeixiaoju_tob,中文,2.0,websocket
甜美小雨 2.0,ICL_uranus_zh_female_tianmeixiaoyu_tob,中文,2.0,websocket
调皮公主 2.0,ICL_uranus_zh_female_tiaopigongzhu_tob,中文,2.0,websocket
贴心女友 2.0,ICL_uranus_zh_female_tiexinnvyou_tob,中文,2.0,websocket
温柔女神 2.0,ICL_uranus_zh_female_wenrounvshen_tob,中文,2.0,websocket
温柔文雅 2.0,ICL_uranus_zh_female_wenrouwenya_tob,中文,2.0,websocket
知心姐姐 2.0,ICL_uranus_zh_female_zhixinjiejie_tob,中文,2.0,websocket
妩媚御姐 2.0,ICL_uranus_zh_female_wumeiyujie_tob,中文,2.0,websocket
元气甜妹 2.0,ICL_uranus_zh_female_yuanqitianmei_tob,中文,2.0,websocket
邪魅御姐 2.0,ICL_uranus_zh_female_xiemeiyujie_tob,中文,2.0,websocket
性感御姐 2.0,ICL_uranus_zh_female_xingganyujie_tob,中文,2.0,websocket
秀丽倩倩 2.0,ICL_uranus_zh_female_xiuliqianqian_tob,中文,2.0,websocket
贴心闺蜜 2.0,ICL_uranus_zh_female_tiexinguimi_tob,中文,2.0,websocket
贴心妹妹 2.0,ICL_uranus_zh_female_tiexinmeimei_tob,中文,2.0,websocket
温柔白月光 2.0,ICL_uranus_zh_female_wenroubaiyueguang_tob,中文,2.0,websocket
初恋女友 2.0,ICL_uranus_zh_female_chuliannvyou_tob,中文,2.0,websocket
知性温婉 2.0,ICL_uranus_zh_female_zhixingwenwan_tob,中文,2.0,websocket
傲气凌人 2.0,ICL_uranus_zh_male_aoqilingren_tob,中文,2.0,websocket
黯刃秦主 2.0,ICL_uranus_zh_male_anrenqinzhu_tob,中文,2.0,websocket
傲娇公子 2.0,ICL_uranus_zh_male_aojiaogongzi_tob,中文,2.0,websocket
傲娇精英 2.0,ICL_uranus_zh_male_aojiaojingying_tob,中文,2.0,websocket
傲慢青年 2.0,ICL_uranus_zh_male_aomanqingnian_tob,中文,2.0,websocket
傲慢少爷 2.0,ICL_uranus_zh_male_aomanshaoye_tob,中文,2.0,websocket
枕边低语 2.0,ICL_uranus_zh_male_zhenbiandiyu_tob,中文,2.0,websocket
霸道少爷 2.0,ICL_uranus_zh_male_badaoshaoye_tob,中文,2.0,websocket
霸道总裁 2.0,ICL_uranus_zh_male_badaozongcai_tob,中文,2.0,websocket
病娇白莲 2.0,ICL_uranus_zh_male_bingjiaobailian_tob,中文,2.0,websocket
病娇弟弟 2.0,ICL_uranus_zh_male_bingjiaodidi_tob,中文,2.0,websocket
病娇哥哥 2.0,ICL_uranus_zh_male_bingjiaogege_tob,中文,2.0,websocket
病娇男友 2.0,ICL_uranus_zh_male_bingjiaonanyou_tob,中文,2.0,websocket
病娇少年 2.0,ICL_uranus_zh_male_bingjiaoshaonian_tob,中文,2.0,websocket
病弱公子 2.0,ICL_uranus_zh_male_bingruogongzi_tob,中文,2.0,websocket
病弱少年 2.0,ICL_uranus_zh_male_bingruoshaonian_tob,中文,2.0,websocket
不羁青年 2.0,ICL_uranus_zh_male_bujiqingnian_tob,中文,2.0,websocket
醇厚低音 2.0,ICL_uranus_zh_male_chunhoudiyin_tob,中文,2.0,websocket
咆哮小哥 2.0,ICL_uranus_zh_male_paoxiaoxiaoge_tob,中文,2.0,websocket
炀炀 2.0,ICL_uranus_zh_male_yangyang_tob,中文,2.0,websocket
孱弱少爷 2.0,ICL_uranus_zh_male_chanruoshaoye_tob,中文,2.0,websocket
成熟总裁 2.0,ICL_uranus_zh_male_chengshuzongcai_tob,中文,2.0,websocket
沉稳明仔 2.0,ICL_uranus_zh_male_chenwenmingzai_tob,中文,2.0,websocket
清逸苏感 2.0,ICL_uranus_zh_male_qingyisugan_tob,中文,2.0,websocket
纯真学弟 2.0,ICL_uranus_zh_male_chunzhenxuedi_tob,中文,2.0,websocket
磁性男嗓 2.0,ICL_uranus_zh_male_cixingnansang_tob,中文,2.0,websocket
醋精男生 2.0,ICL_uranus_zh_male_cujingnansheng_tob,中文,2.0,websocket
醋精男友 2.0,ICL_uranus_zh_male_cujingnanyou_tob,中文,2.0,websocket
低音沉郁 2.0,ICL_uranus_zh_male_diyinchenyu_tob,中文,2.0,websocket
风发少年 2.0,ICL_uranus_zh_male_fengfashaonian_tob,中文,2.0,websocket
儒雅公子 2.0,ICL_uranus_zh_male_ruyagongzi_tob,中文,2.0,websocket
腹黑公子 2.0,ICL_uranus_zh_male_fuheigongzi_tob,中文,2.0,websocket
干净少年 2.0,ICL_uranus_zh_male_ganjingshaonian_tob,中文,2.0,websocket
高冷总裁 2.0,ICL_uranus_zh_male_gaolengzongcai_tob,中文,2.0,websocket
孤傲公子 2.0,ICL_uranus_zh_male_guaogongzi_tob,中文,2.0,websocket
孤高公子 2.0,ICL_uranus_zh_male_gugaogongzi_tob,中文,2.0,websocket
诡异神秘 2.0,ICL_uranus_zh_male_guiyishenmi_tob,中文,2.0,websocket
固执病娇 2.0,ICL_uranus_zh_male_guzhibingjiao_tob,中文,2.0,websocket
憨厚敦实 2.0,ICL_uranus_zh_male_hanhoudunshi_tob,中文,2.0,websocket
活力青年 2.0,ICL_uranus_zh_male_huoliqingnian_tob,中文,2.0,websocket
活泼男友 2.0,ICL_uranus_zh_male_huoponanyou_tob,中文,2.0,websocket
活泼爽朗 2.0,ICL_uranus_zh_male_huoposhuanglang_tob,中文,2.0,websocket
胡子叔叔 2.0,ICL_uranus_zh_male_huzishushu_tob,中文,2.0,websocket
机甲智能 2.0,ICL_uranus_zh_male_jijiazhineng_tob,中文,2.0,websocket
精英青年 2.0,ICL_uranus_zh_male_jingyingqingnian_tob,中文,2.0,websocket
俊逸公子 2.0,ICL_uranus_zh_male_junyigongzi_tob,中文,2.0,websocket
开朗轻快 2.0,ICL_uranus_zh_male_kailangqingkuai_tob,中文,2.0,websocket
开朗青年 2.0,ICL_uranus_zh_male_kailangqingnian_tob,中文,2.0,websocket
蓝银草魂师 2.0,ICL_uranus_zh_male_lanyincaohunshi_tob,中文,2.0,websocket
冷傲总裁 2.0,ICL_uranus_zh_male_lengaozongcai_tob,中文,2.0,websocket
冷淡疏离 2.0,ICL_uranus_zh_male_lengdanshuli_tob,中文,2.0,websocket
冷峻高智 2.0,ICL_uranus_zh_male_lengjungaozhi_tob,中文,2.0,websocket
冷峻上司 2.0,ICL_uranus_zh_male_lengjunshangsi_tob,中文,2.0,websocket
冷酷哥哥 2.0,ICL_uranus_zh_male_lengkugege_tob,中文,2.0,websocket
冷脸兄长 2.0,ICL_uranus_zh_male_lenglianxiongzhang_tob,中文,2.0,websocket
冷脸学霸 2.0,ICL_uranus_zh_male_lenglianxueba_tob,中文,2.0,websocket
冷漠男友 2.0,ICL_uranus_zh_male_lengmonanyou_tob,中文,2.0,websocket
冷漠兄长 2.0,ICL_uranus_zh_male_lengmoxiongzhang_tob,中文,2.0,websocket
凌云青年 2.0,ICL_uranus_zh_male_lingyunqingnian_tob,中文,2.0,websocket
清冷矜贵 2.0,ICL_uranus_zh_male_qinglengjingui_tob,中文,2.0,websocket
绿茶小哥 2.0,ICL_uranus_zh_male_lvchaxiaoge_tob,中文,2.0,websocket
懵懂青年 2.0,ICL_uranus_zh_male_mengdongqingnian_tob,中文,2.0,websocket
闷油瓶小哥 2.0,ICL_uranus_zh_male_menyoupingxiaoge_tob,中文,2.0,websocket
嚣张小哥 2.0,ICL_uranus_zh_male_xiaozhangxiaoge_tob,中文,2.0,websocket
粘人男友 2.0,ICL_uranus_zh_male_nianrennanyou_tob,中文,2.0,websocket
内敛才俊 2.0,ICL_uranus_zh_male_neiliancaijun_tob,中文,2.0,websocket
暖心体贴 2.0,ICL_uranus_zh_male_nuanxintitie_tob,中文,2.0,websocket
翩翩公子 2.0,ICL_uranus_zh_male_pianpiangongzi_tob,中文,2.0,websocket
沉稳优雅 2.0,ICL_uranus_zh_male_chenwenyouya_tob,中文,2.0,websocket
青涩小生 2.0,ICL_uranus_zh_male_qingsexiaosheng_tob,中文,2.0,websocket
